sampleId,weightG,standardDeflectionMm,collecting,measurementMethod,detectStatus,usedPointCount,rmsePx,inlierRatio,quality,timeSec,rawMm,unscaledRawMm,filteredMm,baselineMm,deflectionCm,confidence,status,measurementPositionPx,measurementPxPerMm
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.39605841040611267,1.0,0.8754434288293124,6.0286960601806525,0.15922750234603883,0.15922750234603883,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,241.75,3.140565224826907
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.3949049413204193,1.0,0.8755731941014527,6.062029393513986,0.23884125351905824,0.23884125351905824,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,242.0,3.131193859183979
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.3955671191215515,1.0,0.8754986990988255,6.095362726847319,0.23884125351905824,0.23884125351905824,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,242.0,3.131193859183979
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.3968336582183838,1.0,0.8753562134504318,6.128696060180652,0.23884125351905824,0.23884125351905824,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,242.0,3.131193859183979
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.3973228931427002,1.0,0.8753011745214462,6.162029393513985,0.23884125351905824,0.23884125351905824,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,242.0,3.131193859183979
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.39959463477134705,1.0,0.8750456035882234,6.195362726847319,0.23884125351905824,0.23884125351905824,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,242.0,3.131193859183979
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.39902937412261963,1.0,0.8751091954112052,6.228696060180652,0.23884125351905824,0.23884125351905824,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,242.0,3.131193859183979
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.3977901041507721,1.0,0.875248613283038,6.262029393513985,0.0,0.0,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,241.25,3.142708014733242
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.38766491413116455,1.0,0.8763876971602439,6.295362726847318,0.23884125351905824,0.23884125351905824,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,242.0,3.131193859183979
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.394115686416626,1.0,0.8756619852781296,6.3286960601806515,0.15922750234603883,0.15922750234603883,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,241.75,3.140565224826907
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.3924568295478821,1.0,0.8758486066758632,6.362029393513985,0.15922750234603883,0.15922750234603883,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,241.75,3.140565224826907
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.3922481834888458,1.0,0.8758720793575049,6.395362726847318,0.15922750234603883,0.15922750234603883,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,241.75,3.140565224826907
sample_001_50g,50.0,0.0,1,homography,fallback-aruco,12,0.392129510641098,1.0,0.8758854300528764,6.428696060180651,0.15922750234603883,0.15922750234603883,0.0,76.82726988196373,0.0,0.6,tracking:target-only-static-unavailable,241.75,3.140565224826907
sample_002_100g,100.0,0.3,1,homography,fallback-aruco,12,0.4017927050590515,1.0,0.8747983206808566,7.649493312835676,0.31845500469207766,0.31845500469207766,0.20300728788390357,76.82726988196373,0.020300728788390357,0.6,tracking:target-only-static-unavailable,242.25,3.1415786029811823
sample_002_100g,100.0,0.3,1,homography,fallback-aruco,12,0.4053213894367218,1.0,0.8744013436883687,7.682826646169009,0.31845500469207766,0.31845500469207766,0.20300728788390357,76.82726988196373,0.020300728788390357,0.6,tracking:target-only-static-unavailable,242.25,3.1415786029811823
sample_002_100g,100.0,0.3,1,homography,fallback-aruco,12,0.3995644450187683,1.0,0.8750489999353885,7.716159979502343,0.31845500469207766,0.31845500469207766,0.20300728788390357,76.82726988196373,0.020300728788390357,0.6,tracking:target-only-static-unavailable,242.25,3.1415786029811823
sample_002_100g,100.0,0.3,1,homography,fallback-aruco,12,0.40047121047973633,1.0,0.8749469888210296,7.749493312835676,0.31845500469207766,0.31845500469207766,0.20300728788390357,76.82726988196373,0.020300728788390357,0.6,tracking:target-only-static-unavailable,242.25,3.1415786029811823
sample_002_100g,100.0,0.3,1,homography,fallback-aruco,12,0.40153980255126953,1.0,0.8748267722129822,7.782826646169009,0.31845500469207766,0.31845500469207766,0.20300728788390357,76.82726988196373,0.020300728788390357,0.6,tracking:target-only-static-unavailable,242.25,3.1415786029811823
sample_002_100g,100.0,0.3,1,homography,fallback-aruco,12,0.397637277841568,1.0,0.8752658062428236,7.816159979502342,0.31845500469207766,0.31845500469207766,0.20300728788390357,76.82726988196373,0.020300728788390357,0.6,tracking:target-only-static-unavailable,242.25,3.1415786029811823
sample_002_100g,100.0,0.3,1,homography,fallback-aruco,12,0.39855968952178955,1.0,0.8751620349287986,7.849493312835675,0.31845500469207766,0.31845500469207766,0.20300728788390357,76.82726988196373,0.020300728788390357,0.6,tracking:target-only-static-unavailable,242.25,3.1415786029811823
sample_002_100g,100.0,0.3,1,homography,fallback-aruco,12,0.3960703909397125,1.0,0.8754420810192823,7.882826646169009,0.31845500469207766,0.31845500469207766,0.20300728788390357,76.82726988196373,0.020300728788390357,0.6,tracking:target-only-static-unavailable,242.25,3.1415786029811823
sample_002_100g,100.0,0.3,1,homography,fallback-aruco,12,0.4027358293533325,1.0,0.8746922191977501,7.916159979502342,0.31845500469207766,0.31845500469207766,0.20300728788390357,76.82726988196373,0.020300728788390357,0.6,tracking:target-only-static-unavailable,242.25,3.1420725912990974
sample_002_100g,100.0,0.3,1,homography,fallback-aruco,12,0.4029976725578308,1.0,0.874662761837244,7.949493312835675,0.31845500469207766,0.31845500469207766,0.20300728788390357,76.82726988196373,0.020300728788390357,0.6,tracking:target-only-static-unavailable,242.25,3.1420725912990974
sample_002_100g,100.0,0.3,1,homography,fallback-aruco,12,0.4020593464374542,1.0,0.8747683235257864,7.982826646169008,0.31845500469207766,0.31845500469207766,0.20300728788390357,76.82726988196373,0.020300728788390357,0.6,tracking:target-only-static-unavailable,242.25,3.1415786029811823
sample_002_100g,100.0,0.3,1,homography,fallback-aruco,12,0.4011373817920685,1.0,0.8748720445483923,8.016159979502342,0.31845500469207766,0.31845500469207766,0.20300728788390357,76.82726988196373,0.020300728788390357,0.6,tracking:target-only-static-unavailable,242.25,3.1420725912990974
sample_002_100g,100.0,0.3,1,homography,fallback-aruco,12,0.40059542655944824,1.0,0.8749330145120621,8.049493312835676,0.31845500469207766,0.31845500469207766,0.20300728788390357,76.82726988196373,0.020300728788390357,0.6,tracking:target-only-static-unavailable,242.25,3.1420725912990974
sample_002_100g,100.0,0.3,1,homography,fallback-aruco,12,0.39994755387306213,1.0,0.8750059001892805,8.082826646169009,0.31845500469207766,0.31845500469207766,0.20300728788390357,76.82726988196373,0.020300728788390357,0.6,tracking:target-only-static-unavailable,242.25,3.1420725912990974
sample_002_100g,100.0,0.3,1,homography,fallback-aruco,12,0.3999740779399872,1.0,0.8750029162317514,8.116159979502342,0.31845500469207766,0.31845500469207766,0.20300728788390357,76.82726988196373,0.020300728788390357,0.6,tracking:target-only-static-unavailable,242.25,3.1420725912990974
sample_002_100g,100.0,0.3,1,homography,fallback-aruco,12,0.4037860929965973,1.0,0.8745740645378828,8.149493312835675,0.31845500469207766,0.31845500469207766,0.20300728788390357,76.82726988196373,0.020300728788390357,0.6,tracking:target-only-static-unavailable,242.25,3.1420725912990974
sample_002_100g,100.0,0.3,1,homography,fallback-aruco,12,0.40082451701164246,1.0,0.8749072418361902,8.182826646169008,0.31845500469207766,0.31845500469207766,0.20300728788390357,76.82726988196373,0.020300728788390357,0.6,tracking:target-only-static-unavailable,242.25,3.1420725912990974
sample_002_100g,100.0,0.3,1,homography,fallback-aruco,12,0.40149861574172974,1.0,0.8748314057290554,8.216159979502342,0.31845500469207766,0.31845500469207766,0.20300728788390357,76.82726988196373,0.020300728788390357,0.6,tracking:target-only-static-unavailable,242.25,3.1420725912990974
sample_002_100g,100.0,0.3,1,homography,fallback-aruco,12,0.39764514565467834,1.0,0.8752649211138487,8.249493312835675,0.31845500469207766,0.31845500469207766,0.20300728788390357,76.82726988196373,0.020300728788390357,0.6,tracking:target-only-static-unavailable,242.25,3.1420725912990974
sample_002_100g,100.0,0.3,1,homography,fallback-aruco,12,0.3998049795627594,1.0,0.8750219397991895,8.282826646169008,0.31845500469207766,0.31845500469207766,0.20300728788390357,76.82726988196373,0.020300728788390357,0.6,tracking:target-only-static-unavailable,242.25,3.1420725912990974
sample_002_100g,100.0,0.3,1,homography,fallback-aruco,12,0.3982503414154053,1.0,0.8751968365907669,8.316159979502341,0.31845500469207766,0.31845500469207766,0.20300728788390357,76.82726988196373,0.020300728788390357,0.6,tracking:target-only-static-unavailable,242.25,3.1420725912990974
sample_002_100g,100.0,0.3,1,homography,fallback-aruco,12,0.39640870690345764,1.0,0.875404020473361,8.349493312835675,0.31845500469207766,0.31845500469207766,0.20300728788390357,76.82726988196373,0.020300728788390357,0.6,tracking:target-only-static-unavailable,242.25,3.1420725912990974
sample_002_100g,100.0,0.3,1,homography,fallback-aruco,12,0.39702102541923523,1.0,0.8753351346403361,8.382826646169008,0.31845500469207766,0.31845500469207766,0.20300728788390357,76.82726988196373,0.020300728788390357,0.6,tracking:target-only-static-unavailable,242.25,3.1420725912990974
sample_002_100g,100.0,0.3,1,homography,fallback-aruco,12,0.3976012170314789,1.0,0.8752698630839586,8.416159979502341,0.31845500469207766,0.31845500469207766,0.20300728788390357,76.82726988196373,0.020300728788390357,0.6,tracking:target-only-static-unavailable,242.25,3.1420725912990974
sample_002_100g,100.0,0.3,1,homography,fallback-aruco,12,0.3911704123020172,1.0,0.875993328616023,8.449493312835674,0.31845500469207766,0.31845500469207766,0.20300728788390357,76.82726988196373,0.020300728788390357,0.6,tracking:target-only-static-unavailable,242.25,3.1420725912990974
sample_002_100g,100.0,0.3,1,homography,fallback-aruco,12,0.3943365812301636,1.0,0.8756371346116066,8.482826646169007,0.4776825070381165,0.4776825070381165,0.20300728788390357,76.82726988196373,0.020300728788390357,0.6,tracking:target-only-static-unavailable,242.75,3.140034097669843
sample_002_100g,100.0,0.3,1,homography,fallback-aruco,12,0.3980678915977478,1.0,0.8752173621952534,8.51615997950234,0.39806875586509705,0.39806875586509705,0.20300728788390357,76.82726988196373,0.020300728788390357,0.6,tracking:target-only-static-unavailable,242.5,3.1310603910451293
sample_002_100g,100.0,0.3,1,homography,fallback-aruco,12,0.40090885758399963,1.0,0.8748977535218,8.549493312835674,0.31845500469207766,0.31845500469207766,0.20300728788390357,76.82726988196373,0.020300728788390357,0.6,tracking:target-only-static-unavailable,242.25,3.1420725912990974
sample_002_100g,100.0,0.3,1,homography,fallback-aruco,12,0.4000227451324463,1.0,0.8749974411725997,8.582826646169007,0.31845500469207766,0.31845500469207766,0.20300728788390357,76.82726988196373,0.020300728788390357,0.6,tracking:target-only-static-unavailable,242.25,3.1420725912990974
