timeSec,rawMm,filteredMm,baselineMm,deflectionCm,confidence,status
6.5896759033203125,-0.013691153445194004,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
6.6576690673828125,-0.4820857795008351,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
6.724822998046875,-0.228247754885615,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
6.790850877761841,0.010502275635815295,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
6.856327772140503,0.004987182249749367,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
6.924701929092407,-0.08568517545919008,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
7.001489877700806,-0.08928997704850872,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
7.0564210414886475,0.24048195537866945,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
7.127884864807129,-0.18573796356113803,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
7.189982891082764,-0.18418003898665347,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
7.257407903671265,-0.17693530412790892,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
7.329875946044922,-0.21236338014040257,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
7.391655921936035,-0.2645001765393431,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
7.4582579135894775,-0.021303274958171414,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
7.522021055221558,0.24104829543722417,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
7.589493989944458,-0.2478617838239927,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
7.657461881637573,-0.24605945076038438,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
7.723408937454224,0.23332171544345215,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
7.792481899261475,-0.18750457363589135,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
7.856197118759155,-0.15309045544020705,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
7.92521595954895,-0.030126340468967783,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
7.988923788070679,-0.05099366491509727,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
8.060609817504883,0.24058951897796987,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
8.123050928115845,0.24006673808031564,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
8.189383745193481,0.24936156391555642,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
8.257652759552002,-0.22807696266141875,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
8.32441782951355,-0.2422433157005912,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
8.391434907913208,-0.03923796965358406,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
8.456297874450684,-0.04963424003969408,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
8.522702932357788,-0.0521855975149208,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
8.590190887451172,-0.033721447654471604,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
8.658937931060791,0.2640611322338202,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
8.723388910293579,0.2639541454712173,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
8.79021406173706,-0.08638184359870138,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
8.859603881835938,-0.0014588054058606303,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
8.923444986343384,-0.2064711098913392,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
8.991311073303223,-0.20826218488267045,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
9.059348821640015,-0.21027261573411238,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
9.124068975448608,-0.2096534845632334,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
9.193551063537598,-0.16558590153752561,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
9.264934062957764,-0.19980267887618197,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
9.327464818954468,-0.20692185083450454,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
9.390560865402222,-0.18107085209990714,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
9.458148002624512,-0.20305455459501331,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
9.524926900863647,0.05684981048784721,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
9.591172933578491,0.05601076937404059,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
9.663259983062744,-0.03991315164233811,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
9.730439901351929,-0.026940776265576005,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
9.788861751556396,-0.025194445304123292,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
9.85790205001831,-0.0018531000102370854,0.061202996013801095,142.3531426034668,0.00612029960138011,0.6,tracking:fallback-aruco
