sampleId,weightG,standardDeflectionMm,collecting,measurementMethod,detectStatus,usedPointCount,rmsePx,inlierRatio,staticAxisSource,staticPlaneTiltDeg,staticRollDeg,staticPoseRmsePx,quality,timeSec,rawMm,unscaledRawMm,filteredMm,baselineMm,deflectionCm,confidence,status,measurementPositionPx,measurementPxPerMm
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.17624306678771973,1.0,pose,5.3150366757781455,1.7579930267718056,0.26853981614112854,0.9001726549863814,11.646993525822927,14.253317885955184,14.253317885955184,14.273158492230086,489.71860155838004,1.4273158492230087,0.6,tracking:static-pose,614.82177734375,1.8248927790040985
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.1799170821905136,1.0,pose,5.3077055794332955,1.760970069472803,0.27312275767326355,0.8997593282535672,11.68032685915626,14.245048143533218,14.245048143533218,14.273158492230086,489.71860155838004,1.4273158492230087,0.6,tracking:static-pose,614.806640625,1.8249351790325707
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.18436740338802338,1.0,pose,5.3177053515334345,1.7627142243328866,0.28113168478012085,0.8992586671188473,11.713660192489593,14.244881414855355,14.244881414855355,14.273158492230086,489.71860155838004,1.4273158492230087,0.6,tracking:static-pose,614.8063354492188,1.8241137315539322
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.17906410992145538,1.0,pose,5.28963487400158,1.7634874725321221,0.2807641625404358,0.8998552876338363,11.746993525822926,14.308638461269876,14.308638461269876,14.273158492230086,489.71860155838004,1.4273158492230087,0.6,tracking:static-pose,614.9230346679688,1.8256647044587562
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.18705511093139648,1.0,pose,5.33206672813851,1.7606745951526304,0.28470197319984436,0.8989563000202179,11.78032685915626,14.243347511019023,14.243347511019023,14.273158492230086,489.71860155838004,1.4273158492230087,0.6,tracking:static-pose,614.8035278320312,1.8246485804923618
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.19465209543704987,1.0,pose,5.320645825511274,1.75613675822116,0.30137398838996887,0.8981016392633319,11.813660192489593,14.300702176203634,14.300702176203634,14.273158492230086,489.71860155838004,1.4273158492230087,0.6,tracking:static-pose,614.9085083007812,1.825098286646723
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.17237649857997894,1.0,pose,5.307294226125608,1.7587768354059135,0.264943927526474,0.9006076439097523,11.846993525822926,14.266422760035157,14.266422760035157,14.273158492230086,489.71860155838004,1.4273158492230087,0.6,tracking:static-pose,614.8457641601562,1.8252657127058964
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.17642557621002197,1.0,pose,5.3273926793591775,1.7549919809609191,0.27102163434028625,0.9001521226763726,11.88032685915626,14.26022045321868,14.26022045321868,14.273158492230086,489.71860155838004,1.4273158492230087,0.6,tracking:static-pose,614.8344116210938,1.8246731879141433
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.17390838265419006,1.0,pose,5.323795753823177,1.7551100664667214,0.2668955326080322,0.9004353069514036,11.913660192489592,14.249416434893208,14.249416434893208,14.273158492230086,489.71860155838004,1.4273158492230087,0.6,tracking:static-pose,614.8146362304688,1.8245412681408855
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.17028677463531494,1.0,pose,5.321116308390633,1.7530626484441099,0.26206082105636597,0.900842737853527,11.946993525822926,14.248115951205882,14.248115951205882,14.273158492230086,489.71860155838004,1.4273158492230087,0.6,tracking:static-pose,614.812255859375,1.8240309135610304
sample_001_5123.7g,5123.7,14.52,1,target-local-scale,fallback-aruco,12,0.17394977807998657,1.0,pose,5.320800949741064,1.7534908200734023,0.26615583896636963,0.9004306499660014,11.980326859156259,14.248115951205882,14.248115951205882,14.273158492230086,489.71860155838004,1.4273158492230087,0.6,tracking:static-pose,614.812255859375,1.8239749125520908
