sampleId,frameCount,validFrameCount,deflectionMeanMm,deflectionP50Mm,deflectionP05Mm,deflectionP95Mm,deflectionStdMm,deflectionRangeMm,deflectionSlopeMmPerSec,driftMmPerMin,validRate,confidenceMean,qualityMean,weightG,standardDeflectionMm,phoneMinusStandardMm
sample_041_2359g,80,80,8.596375448721904,8.59198097315933,8.56628528644651,8.648823959149942,0.024666408643040264,0.11095543007764164,-0.001709765094117849,-0.10258590564707094,1.0,0.5999999999999999,0.8963222802849486,2359.0,8.14,0.4563754487219036
sample_021_2366g,28,28,10.142711171294616,10.146921615431003,10.085000775781994,10.189080528838991,0.04027807788630151,0.1549232628098487,0.0027486803223200178,0.16492081933920105,1.0,0.6,0.8842672628164291,2366.0,11.9,-1.7572888287053843
sample_020_2479.9g,28,28,10.428397144710175,10.430463017188416,10.397650792736819,10.461421991787246,0.019866806781326053,0.07476096395535237,-0.0048937756906332775,-0.29362654143799666,1.0,0.6,0.8844851190171074,2479.9,12.45,-2.0216028552898244
sample_040_2501.4g,80,80,8.985274120072194,8.987428754484055,8.937195627876322,9.023567467278914,0.02430044821117066,0.10974931043555891,-0.00024266763621224363,-0.014560058172734617,1.0,0.5999999999999999,0.8961835202248768,2501.4,8.17,0.8152741200721945
sample_019_2635.3g,27,27,10.834262630687082,10.826151914660752,10.792136635063528,10.921848709016674,0.035597104311838434,0.13863456116594364,0.008792514030045882,0.5275508418027529,1.0,0.6,0.8844167685260375,2635.3,12.7,-1.8657373693129173
sample_039_2674.1g,80,80,9.39991539307248,9.394377034691804,9.373696319058453,9.437836328883648,0.020044534027206455,0.07274189530682662,0.0014148157180244119,0.08488894308146472,1.0,0.5999999999999999,0.8964869022672064,2674.1,8.57,0.8299153930724792
sample_038_2766.8g,80,80,9.680074756491814,9.683938394760174,9.6084262816552,9.717636626748702,0.032070028845342685,0.18586090150998125,0.0020070373956571465,0.1204222437394288,1.0,0.5999999999999999,0.8972144938120618,2766.8,8.65,1.030074756491814
sample_018_2777.1g,28,28,11.180947103376123,11.188144423261345,11.127981022845221,11.21545894202893,0.02882982117795889,0.10008086963330598,-0.0022947329975713396,-0.13768397985428038,1.0,0.6,0.8842231346108019,2777.1,13.15,-1.969052896623877
sample_037_2828.4g,80,80,9.615926743466966,9.616236233526037,9.580669101587258,9.652349597832703,0.021617830864447903,0.10631968753555121,-0.0005026034031985019,-0.030156204191910115,1.0,0.5999999999999999,0.8966514622233808,2828.4,8.89,0.7259267434669656
sample_036_2905.4g,80,80,10.193348340251223,10.197751906053746,10.130525786672628,10.244072548614065,0.04014878947499421,0.1304744548050163,0.004151803444741015,0.24910820668446088,1.0,0.5999999999999999,0.8938360740290954,2905.4,9.05,1.1433483402512223
sample_017_2929g,28,28,11.634074106561346,11.637594819545605,11.601667069452876,11.658765829615557,0.0170071154698172,0.06486396891283164,-0.000761460373719723,-0.045687622423183374,1.0,0.6,0.8840377858254527,2929.0,13.4,-1.765925893438654
sample_035_2979.2g,80,80,10.37226134728682,10.37228072458732,10.337071950012216,10.40753847409478,0.020558010803872772,0.10532985662426064,0.0018624513503746108,0.11174708102247664,1.0,0.5999999999999999,0.8942935281083917,2979.2,9.6,0.77226134728682
sample_034_3024.5g,80,80,10.53695682512382,10.53450278322071,10.490265125125068,10.592342006126422,0.03581235097374913,0.14026599718775223,-0.0036739388835925744,-0.22043633301555446,1.0,0.5999999999999999,0.8937723343493417,3024.5,9.25,1.28695682512382
sample_016_3080.1g,30,30,12.058377648404512,12.068301647133984,11.983095152171343,12.139028594117478,0.049555319871847386,0.16174338359554596,0.01446544245160119,0.8679265470960714,1.0,0.6000000000000001,0.8836716973036527,3080.1,13.7,-1.6416223515954869
sample_033_3083.2g,80,80,10.802906343966063,10.80245627914731,10.757405299653957,10.837806261333283,0.02421508049886541,0.11856961998258342,9.834025258492307e-05,0.005900415155095384,1.0,0.5999999999999999,0.892776401664596,3083.2,9.72,1.0829063439660622
sample_032_3141g,80,80,10.856462828288965,10.854391405197426,10.823771430244019,10.907387344813955,0.027747846579028217,0.13847093848571745,-0.0007264563332906358,-0.04358737999743815,1.0,0.5999999999999999,0.8945631992258131,3141.0,9.82,1.0364628282889647
sample_031_3207.7g,80,80,10.987627297528565,10.995601426925138,10.928737212318408,11.037315188401394,0.03292098725371889,0.12178915351032948,0.003110833951166482,0.18665003706998892,1.0,0.5999999999999999,0.8949059319356454,3207.7,9.92,1.0676272975285652
sample_015_3234.7g,28,28,12.541500254172094,12.545781131053612,12.506098348560624,12.568936155891587,0.02402349513190479,0.07724540771880228,0.00346669798360725,0.208001879016435,1.0,0.6,0.8829681608639658,3234.7,14.35,-1.8084997458279055
